airline,source_city,departure_time,stops,arrival_time,destination_city,distance,class,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,od_pair
Vistara,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.17,2,6060,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,2,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.5,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
AirAsia,New Delhi,Early_Morning,zero,Early_Morning,Mumbai,1160.540574,Economy,2.17,2,5956,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.0,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,2,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,2,6375,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,2,7530,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,2,7530,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,2,7530,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,2,7845,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,3,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,3,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,3,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,3,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,3,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,3,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,3,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,3,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,3,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,3,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.5,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
AirAsia,New Delhi,Early_Morning,zero,Early_Morning,Mumbai,1160.540574,Economy,2.17,3,5956,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,3,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,3,6375,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,3,6060,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,3,6690,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,3,6532,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,3,6532,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,3,7005,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.0,3,6795,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,3,7110,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,3,7845,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,3,8055,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.17,3,8370,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,3,8370,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,3,9525,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,3,12780,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.17,3,15720,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,3,15720,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Indigo,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,3,15720,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,4,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,4,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,4,6060,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.17,4,6060,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,4,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.5,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.0,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Air_India,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,4,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
AirAsia,New Delhi,Early_Morning,zero,Early_Morning,Mumbai,1160.540574,Economy,2.17,4,6139,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,4,6165,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,4,6690,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,4,6532,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
SpiceJet,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,5,5953,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Vistara,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.0,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.08,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Early_Morning,zero,Early_Morning,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.33,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
Vistara,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,5,5955,39339998,21747892,598922,224309,full_service,New Delhi-Mumbai
GO_FIRST,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.25,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.33,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
GO_FIRST,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.33,5,5954,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Early_Morning,zero,Morning,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Evening,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Evening,zero,Night,Mumbai,1160.540574,Economy,2.17,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Afternoon,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Afternoon,zero,Evening,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Night,zero,Night,Mumbai,1160.540574,Economy,2.25,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
Indigo,New Delhi,Morning,zero,Morning,Mumbai,1160.540574,Economy,2.33,5,5955,39339998,21747892,598922,224309,low_cost,New Delhi-Mumbai
